"externalId","classificationOfInstructionalProgramCode","courseNumber","courseTitle","subjectAbbreviation","departmentExternalId","institutionExternalId","facilityExternalId","description"
"ABUS410  CG","","ABUS410  CG","Creative Industries Colloquium","GACM","GACM","CG","CG",""
"ACM 350  CG","","ACM 350  CG","Thry/Prac Arts & Cultural Mgmnt","GACM","GACM","CG","CG",""
"ACM 351  CG","","ACM 351  CG","Arts and Cultural Policy","GACM","GACM","CG","CG",""
"AFR 333  CG","","AFR 333  CG","Issues & Concpts in African St","GCGU","GCGU","CG","CG",""
"AFR 334  CG","","AFR 334  CG","Race, Gender and Visual Culture","GCGU","GCGU","CG","CG",""
"AFR 336  CG","","AFR 336  CG","The Politics of AIDS in Africa","GCGU","GCGU","CG","CG",""
"AFRI003  PZ","","AFRI003  PZ","B(L)ack to Nature: Bird watching","ZAFR","ZAFR","PZ","PZ","Why are African Americans underrepresented when it comes to metaphysical and recreational adventure with nature? Legacies of racial disenfranchisement shape cultural practices alienating Black diasporas, communities of color, genderqueer, socio-economically exploited, and other multicultural subjectivities from nature. This course examines how the natural environment is commodified, limiting who has privilege to access natural space metaphysically and recreationally. Students read critical race theory, eco-criticism, and geography studies, practice birdwatching, and establish a campus bird register to acquire Black and multicultural critical
perspectives and cultivate observation, listening, and description as social justice practices necessary to critical thinking and the art of writing."
"AFRI009  PZ","","AFRI009  PZ","Comnty Poetry:Black Feminst rEVO","ZAFR","ZAFR","PZ","PZ","Through Black Feminist and Queer social justice theories and poetry practice students are introduced to critical questions of prison abolition, revolutionary aesthetics, and the practices of being (intelligent) witness-participants-artists at the nexus of systems of capitalist domination, prison industries, race, gender, sexuality, class, and education. Classes are held half on campus and half off-campus. Class meetings are organized as in-class poetry reading, writing, and discussion workshops of Black aesthetic forms often engaged with questions of social justice and practice: blues; vignette; free verse; choreopoem; and haiku. Classes include collaborative community events, open-mic performance(s), and zine-making (each class varies)."
"AFRI010A AF","","AFRI010A AF","Intro to Africana Studies","MIDS","MIDS","SC","SC","This class will serve as a general introduction to Africana Studies. Africana studies, while still relatively young, has a vibrant history that traces the lives and scholarship of people from African descent. Its complex and latent development in academia follows from the socio-political marginalization of people within the African diaspora. Nevertheless, resilience and perseverance will be repeated themes as we study how, through different techniques and modes of understanding, people of the African diaspora have continually challenged the western hegemony of academic study.
"
"AFRI010ACAF","","AFRI010ACAF","Intro to Africana Studies","MIDS","MIDS","CM","CM",""
"AFRI010B AF","05.0201","AFRI010B AF","Research Methods","SIDO","SIDO","SC","SC","Africana Studies is an interdisciplinary field that examines the historical, cultural, literary, aesthetic, political, social, and economic experiences and knowledges of peoples of African origin in both Africa and the African diaspora. In this course, we will consider several disciplines, such as art history, psychology, and philosophy, and their intersection with Africana Studies. We will discuss how these disciplines approach Africana Studies and how Africana Studies scholars can employ disciplinary lenses. In the process of producing a research paper this semester, you will explore and select the methods for which you will conduct your research.
"
"AFRI012  AF","","AFRI012  AF","Intro to Afr-Amer Lit After 1865","ZAFR","ZAFR","PZ","PZ",""
"AFRI116  AF","05.0201","AFRI116  AF","Marxism & the Black Radical Trad","SAFR","SAFR","SC","SC","Marxism has had a long and vibrant relationship with Black liberation movements worldwide - from early twentieth-century Harlem to postwar anti-colonial struggles to the Black Panther Party. Such thinkers and activists have linked their efforts to Marx, Lenin, and other central figures, while simultaneously molding Marxism to address the circumstances of people of African descent and infusing the philosophy with approaches from the Black radical tradition. The course will examine classic Marxist texts alongside Black radical contributions and interventions to deepen our understanding of racial capitalism and to illuminate possibilities for liberation that come from a Marxist praxis deeply engaged with important approaches in Black thought. "
"AFRI119  AF","05.0201","AFRI119  AF","Journal & New Media","SAFR","SAFR","SC","SC","Students research conceptual frameworks toward creating and maintaining an Africana Studies journal. The journal may include new media formats such as blogs and podcasts, in addition to traditional article formats. Following the practices of Black feminist theory, the journal encourages writing that includes authorial experience and positionality."
"AFRI119  JT","05.0201","AFRI119  JT","Africana Journal & New Media","SAFR","SAFR","SC","SC","Students research conceptual frameworks toward creating and maintaining an Africana Studies journal. The journal may include new media formats such as blogs and podcasts, in addition to traditional article formats. Following the practices of Black feminist theory, the journal encourages writing that includes authorial experience and positionality."
"AFRI120  PZ","","AFRI120  PZ","B(L)ack to Nature: Poetry & Thry","ZAFR","ZAFR","PZ","PZ","B(L)ack to Nature: Poetry & Theory

This course introduces students to poetic forms in relation to the subject of nature in 20thC African American poetry. Through the study of authors such as Lucille Clifton, Ntozake Shange, Nikki Giovanni, Sonia Sanchez, June Jordan, and Claudia Rankine students explore formal aesthetic strategies of and practice writing free verse, vignette, haiku, choreopoem, blues, and spoken word. Through readings and research in Black feminist geography studies students learn the critical contexts of and develop an aesthetic understanding in relation to the representational politics of nature and gender in African American poetic expression."
"AFRI121  AF","05.0201","AFRI121  AF","Africana Philosophy","MIDS","MIDS","CM","CM","Philosophical thought and the philosophical cannon cannot be restricted to the 'great thinkers' of western history. This course will be a general introduction to Africana Philosophy. We will unveil not only that philosophy is more than the western world and has points of origin in other places, such as Africa, but we will also discover how Africana philosophy serves as a challenge to the integrity of integral concepts and themes in modern western philosophy; for example, the subject, freedom, the human, and even ontology. We will achieve these insights through a survey of thinkers, writers, and people who address themes such as traditional africana thought, black existentialism, black feminism, post colonialism, whiteness, double consciousness, and afro-pessimism. Cross-listed as PHIL109 CM."
"AFRI125  AF","05.0201","AFRI125  AF","Afro-Pessimism Politics of Hope","MIDS","MIDS","CM","CM","This course will survey the deep and dark history of dreams, accomplishments and roadblocks that have constituted and continue to influence the ways Blacks in America negotiate a compromised political position. Traversing history from the brutality of the captured slave, to reformation and Jim Crow, to the Civil Rights movement and the modern day reflections on the role of civil society, police, and entertainment; we will reflect on the desires, goals, and hurdles that Blacks have faced all the while trying to articulate a sense of freedom within a white supremacist regime by following two lines of political thought: a Politics of Hope and Afro-Pessimism.

"
"AFRI132  PZ","","AFRI132  PZ","Black Queer Writing Workshop","ZAFR","ZAFR","PZ","PZ","This course examines Black queer arts and theories which focus on race and sexuality at the intersections of Black, feminist, and queer culture and push the envelope of and shape cultural theories of representation in the latter twentieth century (approx. 1985-2005). Students read, view, and discuss aesthetic and critical practices in this body of work to hone their critical reading skills and historically situate their own positionality as writer and reflect on cultural contexts in their choices of form and content. Students must have a writing project ready to develop (research), draft (write), and workshop (editorial peer review) throughout the semester."
"AFRI144A AF","","AFRI144A AF","Black Women, Feminism(s) & Arts","PAFR","PAFR","PO","PO","Interdisciplinary seminar explores the ascension of intersectional feminism(s) produced by trailblazing Black women artists, theorists, and activists. Assigned creative and critical interventions interrogate the ways interlocking constructs of race (aestheticized moral ranking system), gender, sexuality, class, religion, and citizenship inform self-perceptions, social status, creative practices, as well as political and economic relationships of power. Situating contemporary feminist work historically, thematically- organized materials highlight key written and visual texts by the nineteenth century and twentieth-century foremothers. Students will compare and contrast strategies for living, thinking, and visualizing love-driven efforts to raise consciousness, manifest political and economic change, and energize social transformations across the African diaspora."
"AFRI149  AF","05.0201","AFRI149  AF","Africana Political Theory","SAFR","SAFR","SC","SC","Given the Black dispersal throughout the world, Africana Political Theory will analyze the intersection of race, class, gender, and sexuality in the formation of political structures throughout the African Diaspora. Utilizing the texts of Black scholars throughout the Diaspora, the course will provide a broad look into Black politics. "
"AFRI190  AF","","AFRI190  AF","Senior Seminar","SAFR","SAFR","SC","SC","Seminar for Africana studies majors. Complements guidance of primary thesis advisor, by focusing on interdisciplinary research strategies and data collection methods; development of authorial voice for the interrogation of African/African Diasporan topics, notions of race and manifestations of racism. Emphasis on writing, rewriting and peer review. Minors require instructor's permission."
"AFRI190  PZ","","AFRI190  PZ","Senior Thesis","ZAFR","ZAFR","PZ","PZ",""
"AFRI191  AF","","AFRI191  AF","Senior Thesis","PAFR","PAFR","PO","PO","Senior Thesis. In the Senior Seminar, students will undertake independent research culminating in a substantial thesis. The thesis work will be supervised by one faculty member chosen by the student. Each thesis  will be read by one additional reader."
"AFRI191  SC","05.0201","AFRI191  SC","Senior Thesis:Africana Studies","SIDO","SIDO","SC","SC",""
"AFRI192  AF","","AFRI192  AF","Senior Project","PAFR","PAFR","PO","PO","Through the Senior Seminar, students engage in an independent reading, research and participatory exercise on a topic agreed to by the student and the advisor. Normally, the project involves a set of short papers and/or culminates in a research paper or original work of substantial length based upon participation in a project or program, e.g. original play script, film or film script, or artwork."
"AFRI193  AF","","AFRI193  AF","Senior Comprehensive Examination","PAFR","PAFR","PO","PO","In the Senior Seminar, students will prepare for the exam to be taken during their senior year.  The comprehensive examination consists of two field examinations that test the depth of the studentís  knowledge of Africana Studies. The student chooses two areas in Africana studies (e.g., history and literature) in which to be examined."
"AFRI195D AF","","AFRI195D AF","Caribbean Activism Migrations","ZAFR","ZAFR","PZ","PZ","This course examines the historical and political trajectories of Caribbean populations in the US, particularly Cuban, Puerto Rican, and Dominican communities. We discuss the emergence of key social movements and probe their historical linkages and intersections to other U.S. movements. Since independence, anti-racist and identity-based liberation movements are key to this discussion, readings examine constructs of race and identity as well as the shifting boundaries and meanings of these constructs. "
"AFRI195F AF","","AFRI195F AF","Transnationalism","SAFR","SAFR","SC","SC","Introduces students to key issues and theoretical debates surrounding transnationalism relative to communities of color, particularly the African Diaspora. This course also explores the connections between migration, transnationalism, and globalization, as well as contemporary challenges to historical borders and boundaries. Additionally, the course examines the construction and creation of a "global apartheid" informed by race, class, and gender, and explores the ways in which communities of color have crafted modes of protest and resistance. "
"AFRI195F PZ","","AFRI195F PZ","Transnationalism","ZAFR","ZAFR","PZ","PZ","Introduces students to key issues and theoretical debates surrounding transnationalism relative to communities of color, particularly the African Diaspora. This course also explores the connections between migration, transnationalism, and globalization, as well as contemporary challenges to historical borders and boundaries. Additionally, the course examines the construction and creation of a "global apartheid" informed by race, class, and gender, and explores the ways in which communities of color have crafted modes of protest and resistance."
"AFRI195G AF","","AFRI195G AF","The Black Male Experience","ZAFR","ZAFR","SC","SC","In this course, we will study the history of Black men, Black manhood, and representations of Black men in media over the last fifty years. We will explore Black men's relationships with Black women, the State, and even to other Black men, while also exploring the complex space of negotiation interracial relationships in American, nationalism, and the "Obama Effect," or color-blindness in today's society. "
"AFRI195H AF","","AFRI195H AF","Feminisms, Racism, Anti-racisms","SAFR","SAFR","SC","SC","This course examines the ways in which path-breaking scholarship by U.S. women of color and Third World women has been central to rethinking theoretical foundations, and to new ways of knowing, understanding, and practicing politics. It focuses on scholarship that provides some of the most important critiques and analysis of issues concerning: race, anti-racism, human rights, citizenship, empire, globalization and social justice."
"AFRI199  AF","","AFRI199  AF","Independent Study & Research","MIDS","MIDS","CM","CM",""
"AFRI199  SC","","AFRI199  SC","Independent Study in Africana St","SAFR","SAFR","SC","SC",""
"AFRI199DRAF","","AFRI199DRAF","Africana St: Directed Readings","PAFR","PAFR","PO","PO","Directed Readings. Syllabus reflects workload of a standard course in the department or program. Examinations or papers equivalent to a standard course. Regular interaction with the faculty supervisor. Weekly meetings are the norm. Available for  full- or half-course credit."
"AFRI199IRAF","","AFRI199IRAF","Africana St: Indep Research","PAFR","PAFR","PO","PO","Independent Research or Creative Project. A substantial and significant piece of original research or creative product produced. Pre-requisite course work required. Available for full- or half-course credit."
"AFRI199RAAF","","AFRI199RAAF","Africana St: Research Asstship","PAFR","PAFR","PO","PO","Research Assistantship. Lab notebook, research summary or other product appropriate to the discipline is required. Half-course credit only."
"AFRI999  PZ","","AFRI999  PZ","Independent Study","ZAFR","ZAFR","PZ","PZ",""
"AISS001ALKS","","AISS001ALKS","Accel Integrt Bio,Chem & Phys 1","CJSD","CJSD","SC","SC","This intensive, honors-level course sequence, co-taught by scientists from different disciplines, provides an integrative approach to the fundamentals of biology, chemistry, and physics.  It is designed for first-year students with broad, interdisciplinary scientific interests and strong math backgrounds.  The sequence will prepare students for entry into any majors offered by the department, and provides an alternative to the standard six-course introductory curriculum (Biology 43L-44L, Chemistry 14L-15L, Physics 33L-34L).  It will feature computer modeling, seminar discussions, lectures, interdisciplinary laboratories, and hands-on activities.  1A and 1B are designed to be taken concurrently (in the fall term), followed by 2A and 2B in the spring.  Enrollment is by written permission. Laboratory fee: $50 per course.
"
"AISS001BLKS","","AISS001BLKS","Accel Integrt Bio,Chem & Phys 1","CJSD","CJSD","SC","SC","This intensive, honors-level course sequence, co-taught by scientists from different disciplines, provides an integrative approach to the fundamentals of biology, chemistry, and physics.  It is designed for first-year students with broad, interdisciplinary scientific interests and strong math backgrounds.  The sequence will prepare students for entry into any majors offered by the department, and provides an alternative to the standard six-course introductory curriculum (Biology 43L-44L, Chemistry 14L-15L, Physics 33L-34L).  It will feature computer modeling, seminar discussions, lectures, interdisciplinary laboratories, and hands-on activities.  1A and 1B are designed to be taken concurrently (in the fall term), followed by 2A and 2B in the spring.  Enrollment is by written permission. Laboratory fee: $50 per course.
"
"AISS002ALKS","","AISS002ALKS","Accel Integrt Bio,Chem & Phys 2","CSCI","CSCI","SC","SC","This intensive, honors-level course sequence, co-taught by scientists from different disciplines, provides an integrative approach to the fundamentals of biology, chemistry, and physics.  It is designed for first-year students with broad, interdisciplinary scientific interests and strong math backgrounds.  The sequence will prepare students for entry into any majors offered by the department, and provides an alternative to the standard six-course introductory curriculum (Biology 43L-44L, Chemistry 14L-15L, Physics 33L-34L).  It will feature computer modeling, seminar discussions, lectures, interdisciplinary laboratories, and hands-on activities.  1A and 1B are designed to be taken concurrently (in the fall term), followed by 2A and 2B in the spring.  Enrollment is by written permission. Laboratory fee: $50 per course.
"
"AISS002BLKS","","AISS002BLKS","Accel Integrt Bio,Chem & Phys 2","CSCI","CSCI","SC","SC","This intensive, honors-level course sequence, co-taught by scientists from different disciplines, provides an integrative approach to the fundamentals of biology, chemistry, and physics.  It is designed for first-year students with broad, interdisciplinary scientific interests and strong math backgrounds.  The sequence will prepare students for entry into any majors offered by the department, and provides an alternative to the standard six-course introductory curriculum (Biology 43L-44L, Chemistry 14L-15L, Physics 33L-34L).  It will feature computer modeling, seminar discussions, lectures, interdisciplinary laboratories, and hands-on activities.  1A and 1B are designed to be taken concurrently (in the fall term), followed by 2A and 2B in the spring.  Enrollment is by written permission. Laboratory fee: $50 per course.
"
"ALS 299  KG","","ALS 299  KG","Lab Research Chemical Genetics","GKGI","GKGI","CG","CG",""
"ALS 301  KG","","ALS 301  KG","Systems of Biol Complex Diseases","GKGI","GKGI","CG","CG",""
"ALS 330  KG","","ALS 330  KG","Pharmaceutical Discovery/Develop","GKGI","GKGI","CG","CG",""
"ALS 331  KG","","ALS 331  KG","Pharmaceutical Development","GKGI","GKGI","CG","CG",""
"ALS 332  KG","","ALS 332  KG","Biologics","GKGI","GKGI","CG","CG",""
"ALS 397  KG","","ALS 397  KG","Independent Study","GCGU","GCGU","CG","CG",""
"ALS 400  KG","","ALS 400  KG","Team Masters Project","GCGU","GCGU","CG","CG",""
"ALS 400A KG","","ALS 400A KG","Team Masters Project","GCGU","GCGU","CG","CG",""
"ALS 400B KG","","ALS 400B KG","Team Masters Project","GCGU","GCGU","CG","CG",""
"ALS 400C KG","","ALS 400C KG","Team Masters Project","GCGU","GCGU","CG","CG",""
"ALS 401  KG","","ALS 401  KG","Biotechnology-Based Therapeutics","ALS","ALS","CG","CG",""
"ALS 424  KG","","ALS 424  KG","Business Operations","GKGI","GKGI","CG","CG",""
"ALS 427  KG","","ALS 427  KG","Mammaliian Cell Biology","ALS","ALS","CG","CG",""
"ALS 435  KG","","ALS 435  KG","Pharmaceutical Development II","GKGI","GKGI","CG","CG",""
"ALS 437  KG","","ALS 437  KG","Intro to Clinical Pharmacology I","GKGI","GKGI","CG","CG",""
"ALS 438  KG","","ALS 438  KG","Intro to Clinical Pharmacology I","GKGI","GKGI","CG","CG",""
"ALS 440  KG","","ALS 440  KG","Advanced Project Management","GKGI","GKGI","CG","CG",""
"ALS 454  KG","","ALS 454  KG","Intn'l Business and Global Hlth","GCGU","GCGU","CG","CG",""
"ALS 458  KG","","ALS 458  KG","Applied Entrepreneurship:","ALS","ALS","CG","CG",""
"AMST103  HM","","AMST103  HM","Intro to American Cultures","HHSS","HHSS","HM","HM","An interdisciplinary introduction to principal themes in American culture taught by an intercollegiate faculty team.

HSA Writing Intensive: No"
"AMST103  JT","","AMST103  JT","Intro to American Cultures","SAMS","SAMS","SC","SC","This class analyzes the histories and cultures of the U.S., focusing on the experiences of people and communities of color. Topics change each year and include race and racism; migration and immigration; and culture (e.g., art, music, film) across a wide range of academic and popular texts. This is the introductory course in the five-colleges American Studies program, but is open to all students. 

"
"AMST103  SC","05.0102","AMST103  SC","Intro to American Cultures","SAMS","SAMS","SC","SC","This course, taught by an intercollegiate faculty team, introduces principal themes in American culture.  Its interdisciplinary approach brings together such areas as art, music, politics, social history, literature, and anthropology.  Topics frequently covered include the origins of the American self, ethnic diversity, immigration, women, the West, modernism, consensus, and dissent.  Required of all majors. 
"
"AMST103SCJT","","AMST103SCJT","Introduction to American Culture","SIDO","SIDO","SC","SC",""
"AMST110  SC","05.0102","AMST110  SC","Migrant Memoir","SIDO","SIDO","SC","SC","This course explores memoirs of migration (broadly conceived) through the interdisciplinary lenses of American Studies and ethnic studies. Students will learn how to read and analyze texts alongside their social, historical, and political contexts; and with a transnational and global view of the relationships between places, a critical focus on the meanings and realities of "America," and a humanizing view of the complex personhood of migrant subjects."
"AMST115  HM","","AMST115  HM","Print and American Culture","HHSS","HHSS","HM","HM","Covers numerous developments in American print culture through the careful examination of both textbooks and artifacts (period books, magazines, newspapers, letters, diaries, advertisements, etc.).

HSA Writing Intensive: No"
"AMST117  PO","","AMST117  PO","American Soundscapes","PAMS","PAMS","PO","PO","What does America sound like, and who hears it? This course will reside at the intersection of two interdisciplinary academic fields, American Studies and Sound Studies. How does an attention to the sonic clarify our understanding of American nationhood, empire, and identity in the twenty-first century? Does listening to American culture reveal knowledge that would otherwise be rendered invisible or unreachable? Conversely, in what ways does American Studies? persistent return to the personal and communal help situate the theoretical concepts drawn from other disciplines?  We will engage with primary and secondary sources from a wide range of disciplines, including media studies, anthropology, history, musicology, and sound art in order to better understand the role of the sonic in our constantly developing conceptualizations of ?America.?"
"AMST120  HM","","AMST120  HM","Hyphenated Americans","HHSS","HHSS","HM","HM","A focus on the experience of immigrants in the United States and Americans of diverse ethnic backgrounds, as reflected in literature and critical theory. The course will weave together works that treat the lives of immigrants and minority groups in the United States with examinations of such contemporary issues as bilingual education, the conditions of migrant workers, and children as cultural and linguistic interpreters for their parents. The intentionally broad and interdisciplinary nature of the course enables exploration of cultural identities, socio-economic status, and gender-specific roles.

HSA Writing Intensive: No"
"AMST124  SC","05.0102","AMST124  SC","Migrant Memoir","SAMS","SAMS","SC","SC","This course explores memoirs of migration (broadly conceived) through the interdisciplinary lenses of American Studies and ethnic studies. Students will learn how to read and analyze texts alongside their social, historical, and political contexts; and with a transnational and global view of the relationships between places, a critical focus on the meanings and realities of ìAmerica,î and a humanizing view of the complex personhood of migrant subjects."
"AMST128  SC","05.0102","AMST128  SC","Race, Space, and Difference","SAMS","SAMS","SC","SC","This course is an introduction to critical scholarship on race and space in the United States. We will consider definitions of race and racism, and how the intertwining of race and differential access to space has shaped patterns of power and inequality. We pay special attention to the making and maintenance of national boundaries; spatial typologies within metropolitan areas; and the differential racialization of Asian Americans, Latinxs, African Americans, and Native Americans. Readings and discussion are organized around spatial typologies including border, ghetto, suburb, and prison. Assignments provide opportunities to think critically about race, space, and inequality in the landscape."
"AMST130  SC","05.0102","AMST130  SC","Cold War Taiwanese/America","SAMS","SAMS","SC","SC","This course examines Taiwanese/American history, identity, politics, and culture with a particular focus on global Cold War politics and the historical relationship between Taiwan and the United States. Through film, literature, popular culture, primary historical texts, and interdisciplinary scholarship, students will use the focus on Taiwan and the United States to develop a broad understanding of issues including student migration, cultural identity, diasporic activism, imperialism and colonialism, and people and places caught in the crosshairs of global hegemony."
"AMST169A SC","05.0102","AMST169A SC","Freedom+Race:Citizenship+Slavery","SAMS","SAMS","SC","SC","This course explores freedom and migration through an analysis of labor trades that have led to exploitation.  We will examine shifting perceptions of freedom and race in the U.S. in historical and contemporary contexts.  Course topics include human slavery, representations of freedom, coercive labor, and human rights. "
"AMST180  PO","","AMST180  PO","American Studies Seminar","PAMS","PAMS","PO","PO","American Studies Seminar. Interdisciplinary examination of an issue or era in the history, politics and culture of the United States. "
"AMST180  PZ","","AMST180  PZ","Seminar in American Studies","ZAMS","ZAMS","PZ","PZ",""
"AMST180  SC","05.0102","AMST180  SC","American Studies Seminar","SAMS","SAMS","SC","SC","This course aims to introduce students to the history, methods, and topics frequently covered in interdisciplinary American studies. Required of all majors. Taken in the junior year (preferred) or senior year.
"
"AMST190  JT","","AMST190  JT","Senior Thesis Seminar","CJT","CJT","PO","PO","Exclusively for American Studies majors who are preparing to write a senior thesis."
"AMST190  PO","","AMST190  PO","Senior Thesis Seminar","PAMS","PAMS","PO","PO","Exclusively for American Studies majors who are preparing to write a senior thesis. Letter grade only."
"AMST190  PZ","","AMST190  PZ","Senior Thesis Seminar","ZAMS","ZAMS","PZ","PZ","This faculty-led, intercollegiate seminar is intended
to help students work through the process of conceptualizing, researching and
writing a senior thesis in American Studies, with the goal of producing one complete
chapter by the end of the semester.

Senior Thesis. Required of all American Studies majors in the senior year. The capstone project for majors in which they
produce an original work in American Studies.
"
"AMST190  SC","05.0102","AMST190  SC","Senior Thesis Seminar","SAMS","SAMS","SC","SC","The seminar will introduce students to issues in interdisciplinary research to assist them in developing their own thesis projects.  Each student will produce one chapter by the end of the semester.  Students enroll in American Studies 191 in the spring semester to complete the thesis.  Required of all majors.
"
"AMST191  PO","","AMST191  PO","Senior Thesis","PAMS","PAMS","PO","PO","Senior Thesis. Required of all majors in the senior year. The capstone project for majors in which they produce an original work in American Studies."
"AMST191  PZ","","AMST191  PZ","Senior Thesis","ZAMS","ZAMS","PZ","PZ",""
"AMST191  SC","","AMST191  SC","Senior Thesis: American Studies","SAMS","SAMS","SC","SC",""
"AMST191B SC","","AMST191B SC","Senior Thesis: American Studies","SAMS","SAMS","SC","SC",""
"AMST191H SC","","AMST191H SC","Honors Sr Thesis: American St","SAMS","SAMS","SC","SC",""
"AMST197F SC","05.0102","AMST197F SC","Special Topics: American Studies","SAMS","SAMS","SC","SC",""
"AMST198  SC","","AMST198  SC","Independent Internship","SAMS","SAMS","SC","SC",""
"AMST199  SC","","AMST199  SC","Independent St: American Studies","SAMS","SAMS","SC","SC",""
"AMST199DRPO","","AMST199DRPO","American St: Directed Readings","PAMS","PAMS","PO","PO","Directed Readings. Syllabus reflects workload of a standard course in the department or program.  Examinations or papers equivalent to a standard course. Regular interaction with the faculty supervisor. Weekly meetings are the norm. Available for full- or half-course credit."
"AMST199IRPO","","AMST199IRPO","American St: Indep Research","PAMS","PAMS","PO","PO","Independent Research or Creative Project. A substantial and significant piece of original research or creative product produced. Pre-requisite course work required. Available for full- or half-course credit."
"AMST199RAPO","","AMST199RAPO","American St: Research Asstship","PAMS","PAMS","PO","PO","Research Assistantship. Lab notebook, research summary or other product appropriate to the discipline is required. Half-course credit only."
"AMST999  PZ","","AMST999  PZ","Independent Study","ZAMS","ZAMS","PZ","PZ",""
"ANTH001  PZ","","ANTH001  PZ","Intro Archaeology & Bio Anthro","ZANT","ZANT","PZ","PZ","An introduction to the basic concepts, theories, methods and discourses of these fields. The course includes an examination of human evolution as well as a survey of human cultural development from the Stone Age to the rise of urbanism. Each student is required to participate in one lab session per week in addition to the regular lecture meetings."
"ANTH002  PO","","ANTH002  PO","Intro to Sociocultural Anth","PANT","PANT","PO","PO","Study of the structure and dynamics of human culture and social institutions from a comparative perspective. Diversity in ways of life and patterns of social organization explored through ethnographic materials from societies around the world."
"ANTH002  PZ","","ANTH002  PZ","Intro Sociocultural Anthropology","ZANT","ZANT","PZ","PZ","An introduction to the basic concepts, theories and methods of social and cultural anthropology. An investigation of the nature of sociocultural systems using ethnographic materials from a wide range of societies."
"ANTH002  SC","45.0201","ANTH002  SC","Intro Sociocultural Anthropology","SANT","SANT","SC","SC","An introduction to the basic concepts, theories, and methods of social and cultural anthropology. An investigation of the nature of sociocultural systems using ethnographic materials from a wide range of societies."
